,frame#,pts
0,1,"[[ 604.         310.         -78.49574  ]
 [ 608.         342.         -77.90732  ]
 [ 612.         364.         -77.72272  ]
 [ 620.         388.         -74.64935  ]
 [ 632.         416.         -62.879265 ]
 [ 652.         432.         -41.191654 ]
 [ 676.         444.         -15.37321  ]
 [ 704.         452.           7.7595377]
 [ 740.         456.          14.35446  ]
 [ 766.         448.          -1.4094893]
 [ 786.         436.         -28.461994 ]
 [ 798.         420.         -58.872574 ]
 [ 814.         400.         -84.387375 ]
 [ 818.         376.         -97.95271  ]
 [ 826.         352.        -102.78997  ]
 [ 830.         326.        -105.299446 ]
 [ 830.         298.        -106.77719  ]
 [ 640.         278.          13.031652 ]
 [ 656.         266.          27.767206 ]
 [ 676.         262.          36.267475 ]
 [ 692.         262.          40.795338 ]
 [ 708.         262.          42.274643 ]
 [ 758.         262.          36.034313 ]
 [ 774.         258.          31.011177 ]
 [ 786.         258.          22.026247 ]
 [ 806.         262.           9.386722 ]
 [ 814.         270.          -8.69936  ]
 [ 736.         298.          41.50622  ]
 [ 740.         314.          52.890423 ]
 [ 742.         330.          66.005684 ]
 [ 742.         344.          68.21746  ]
 [ 720.         360.          41.290657 ]
 [ 732.         360.          45.95418  ]
 [ 742.         364.          47.537476 ]
 [ 750.         360.          43.226654 ]
 [ 758.         356.          37.292854 ]
 [ 664.         302.          20.579292 ]
 [ 676.         294.          29.62126  ]
 [ 692.         294.          27.815254 ]
 [ 704.         298.          22.053562 ]
 [ 692.         302.          27.295975 ]
 [ 676.         306.          26.941877 ]
 [ 758.         298.          17.635117 ]
 [ 770.         294.          19.31741  ]
 [ 786.         294.          16.391592 ]
 [ 794.         294.           3.875697 ]
 [ 786.         302.          13.524466 ]
 [ 770.         302.          18.851236 ]
 [ 708.         400.          29.654993 ]
 [ 720.         392.          43.140507 ]
 [ 736.         384.          49.536015 ]
 [ 742.         384.          49.851303 ]
 [ 750.         384.          48.08568  ]
 [ 766.         388.          38.81323  ]
 [ 774.         392.          22.2709   ]
 [ 766.         400.          34.263805 ]
 [ 754.         408.          40.647713 ]
 [ 742.         408.          43.241955 ]
 [ 732.         408.          43.291508 ]
 [ 720.         404.          39.257088 ]
 [ 708.         396.          29.182423 ]
 [ 732.         396.          43.756992 ]
 [ 742.         392.          45.17904  ]
 [ 750.         392.          42.15813  ]
 [ 770.         392.          22.863527 ]
 [ 754.         392.          39.012768 ]
 [ 742.         396.          40.666195 ]
 [ 732.         396.          40.718502 ]]"
1,2,"[[ 6.04000000e+02  3.10000000e+02 -7.81416473e+01]
 [ 6.08000000e+02  3.42000000e+02 -7.74169388e+01]
 [ 6.12000000e+02  3.64000000e+02 -7.70747833e+01]
 [ 6.20000000e+02  3.88000000e+02 -7.38586731e+01]
 [ 6.32000000e+02  4.16000000e+02 -6.19338341e+01]
 [ 6.52000000e+02  4.32000000e+02 -4.01316223e+01]
 [ 6.76000000e+02  4.44000000e+02 -1.42238045e+01]
 [ 7.04000000e+02  4.52000000e+02  8.88807106e+00]
 [ 7.40000000e+02  4.56000000e+02  1.54699621e+01]
 [ 7.66000000e+02  4.48000000e+02 -3.80252898e-01]
 [ 7.86000000e+02  4.36000000e+02 -2.75523319e+01]
 [ 8.02000000e+02  4.20000000e+02 -5.80854912e+01]
 [ 8.14000000e+02  4.00000000e+02 -8.37249756e+01]
 [ 8.18000000e+02  3.76000000e+02 -9.74527054e+01]
 [ 8.26000000e+02  3.52000000e+02 -1.02417099e+02]
 [ 8.30000000e+02  3.26000000e+02 -1.05071724e+02]
 [ 8.30000000e+02  2.98000000e+02 -1.06689972e+02]
 [ 6.40000000e+02  2.78000000e+02  1.31583395e+01]
 [ 6.56000000e+02  2.66000000e+02  2.78308830e+01]
 [ 6.76000000e+02  2.62000000e+02  3.62977982e+01]
 [ 6.92000000e+02  2.62000000e+02  4.08121223e+01]
 [ 7.08000000e+02  2.62000000e+02  4.22947769e+01]
 [ 7.58000000e+02  2.62000000e+02  3.60007095e+01]
 [ 7.74000000e+02  2.58000000e+02  3.09586220e+01]
 [ 7.86000000e+02  2.58000000e+02  2.19634113e+01]
 [ 8.06000000e+02  2.62000000e+02  9.31583214e+00]
 [ 8.14000000e+02  2.70000000e+02 -8.74299431e+00]
 [ 7.36000000e+02  2.98000000e+02  4.17147980e+01]
 [ 7.40000000e+02  3.14000000e+02  5.31777306e+01]
 [ 7.42000000e+02  3.30000000e+02  6.63997803e+01]
 [ 7.42000000e+02  3.44000000e+02  6.86904831e+01]
 [ 7.20000000e+02  3.60000000e+02  4.19775810e+01]
 [ 7.32000000e+02  3.60000000e+02  4.66150322e+01]
 [ 7.42000000e+02  3.64000000e+02  4.81882858e+01]
 [ 7.50000000e+02  3.60000000e+02  4.38295212e+01]
 [ 7.58000000e+02  3.56000000e+02  3.78565979e+01]
 [ 6.64000000e+02  3.02000000e+02  2.08069420e+01]
 [ 6.76000000e+02  2.94000000e+02  2.98292999e+01]
 [ 6.92000000e+02  2.94000000e+02  2.80334854e+01]
 [ 7.04000000e+02  2.98000000e+02  2.23069782e+01]
 [ 6.92000000e+02  3.02000000e+02  2.75597801e+01]
 [ 6.76000000e+02  3.06000000e+02  2.71946278e+01]
 [ 7.58000000e+02  2.98000000e+02  1.77655125e+01]
 [ 7.70000000e+02  2.94000000e+02  1.94048386e+01]
 [ 7.86000000e+02  2.94000000e+02  1.64847374e+01]
 [ 7.94000000e+02  2.94000000e+02  3.97425175e+00]
 [ 7.86000000e+02  3.02000000e+02  1.36451550e+01]
 [ 7.70000000e+02  3.02000000e+02  1.89757328e+01]
 [ 7.04000000e+02  4.00000000e+02  3.08651123e+01]
 [ 7.20000000e+02  3.92000000e+02  4.42568703e+01]
 [ 7.36000000e+02  3.84000000e+02  5.04956970e+01]
 [ 7.42000000e+02  3.84000000e+02  5.07849236e+01]
 [ 7.50000000e+02  3.84000000e+02  4.89523315e+01]
 [ 7.66000000e+02  3.88000000e+02  3.96193466e+01]
 [ 7.74000000e+02  3.92000000e+02  2.30743427e+01]
 [ 7.66000000e+02  4.00000000e+02  3.51105080e+01]
 [ 7.54000000e+02  4.08000000e+02  4.15260277e+01]
 [ 7.42000000e+02  4.08000000e+02  4.41731453e+01]
 [ 7.32000000e+02  4.08000000e+02  4.43076630e+01]
 [ 7.20000000e+02  4.04000000e+02  4.03697777e+01]
 [ 7.08000000e+02  3.96000000e+02  3.04224949e+01]
 [ 7.32000000e+02  3.96000000e+02  4.48215904e+01]
 [ 7.42000000e+02  3.92000000e+02  4.61669464e+01]
 [ 7.50000000e+02  3.92000000e+02  4.30758705e+01]
 [ 7.70000000e+02  3.92000000e+02  2.36883125e+01]
 [ 7.54000000e+02  3.92000000e+02  3.99092369e+01]
 [ 7.42000000e+02  3.96000000e+02  4.16193161e+01]
 [ 7.32000000e+02  3.96000000e+02  4.17576828e+01]]"
